,date,exchange_rate_USD_JY,cpi_j,interest_r_j,inflation_j,gdp_pc_j,cpi_us,inflation_us,interest_r_us,gdp_pc_us,govt_debt_j,govt_debt_us
2677,1981-04-08,213.45,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,14.2,30042.0,52.876,30.70875
2678,1981-04-09,214.1,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.54,30042.0,52.876,30.70875
2679,1981-04-10,215.17,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.56,30042.0,52.876,30.70875
2680,1981-04-13,216.25,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.6,30042.0,52.876,30.70875
2681,1981-04-14,215.22,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,14.94,30042.0,52.876,30.70875
2682,1981-04-15,216.7,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,14.56,30042.0,52.876,30.70875
2683,1981-04-16,216.8,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.67,30042.0,52.876,30.70875
2684,1981-04-17,217.5,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.17,30042.0,52.876,30.70875
2685,1981-04-20,218.2,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.6,30042.0,52.876,30.70875
2686,1981-04-21,218.35,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.86,30042.0,52.876,30.70875
2687,1981-04-22,216.85,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,16.24,30042.0,52.876,30.70875
2688,1981-04-23,215.2,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.76,30042.0,52.876,30.70875
2689,1981-04-24,214.3,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,15.32,30042.0,52.876,30.70875
2690,1981-04-27,212.1,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,16.08,30042.0,52.876,30.70875
2691,1981-04-28,212.3,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,17.12,30042.0,52.876,30.70875
2692,1981-04-29,214.7,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,19.02,30042.0,52.876,30.70875
2693,1981-04-30,215.78,77.5769916009163,6.25,4.91216291820522,20011.8292508853,89.1,10.3347153402771,18.92,30042.0,52.876,30.70875
2694,1981-05-01,215.75,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,19.79,,52.876,
2695,1981-05-04,217.1,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.67,,52.876,
2696,1981-05-05,217.8,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.39,,52.876,
2697,1981-05-06,216.9,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,17.02,,52.876,
2698,1981-05-07,217.9,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.41,,52.876,
2699,1981-05-08,217.6,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.14,,52.876,
2700,1981-05-11,217.95,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.28,,52.876,
2701,1981-05-12,219.75,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.08,,52.876,
2702,1981-05-13,220.45,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.26,,52.876,
2703,1981-05-14,222.35,78.2896411300586,6.25,4.91216291820522,20011.8292508853,89.7,10.3347153402771,18.83,,52.876,
